"CELL_SEQ","ROW_SEQ","COL_SEQ","UPLOAD_SEQ","CELL_VALUE","BG_COLOR"
275,59,121,44,"03 '24",#0070C0
276,59,122,44,,#0A0A14
277,59,123,44,,#0A0A14
278,59,124,44,,#0A0A14
279,59,125,44,,#0A0A14
280,59,126,44,,#0A0A14
281,59,127,44,,#0A0A14
282,59,128,44,,#0A0A14
283,59,129,44,,#0A0A14
284,59,130,44,,#0A0A14
285,60,109,44,,#0A0A14
286,60,110,44,"02 '24",#0070C0
287,60,111,44,"03 '25",#FF6600
288,60,112,44,"03 '25",#FF6600
289,60,113,44,,#0A0A14
290,60,114,44,,#0A0A14
291,60,115,44,,#0A0A14
292,60,116,44,,#0A0A14
293,60,117,44,"04 '24",#0070C0
294,60,118,44,"04 '24",#0070C0
295,60,119,44,,#0A0A14
296,60,120,44,,#0A0A14
297,60,121,44,,#0A0A14
298,60,122,44,,#0A0A14
299,60,123,44,,#0A0A14
300,60,124,44,"05 '24",#0070C0
301,60,125,44,,#0A0A14
302,60,126,44,,#0A0A14
303,60,127,44,,#0A0A14
304,60,128,44,,#0A0A14
305,60,129,44,,#0A0A14
306,60,130,44,,#0A0A14
307,61,109,44,,#0A0A14
308,61,110,44,"06 '24",#0070C0
309,61,111,44,"06 '25",#FF6600
310,61,112,44,"06 '25",#FF6600
311,61,113,44,"07 '25",#FF6600
312,61,114,44,,#0A0A14
313,61,115,44,,#0A0A14
314,61,116,44,,#0A0A14
315,61,117,44,"07 '24",#0070C0
316,61,118,44,"07 '24",#0070C0
317,61,119,44,"07 '24",#0070C0
318,61,120,44,,#0A0A14
319,61,121,44,,#0A0A14
320,61,122,44,,#0A0A14
321,61,123,44,,#0A0A14
322,61,124,44,"07 '24",#0070C0
323,61,125,44,"09 '26",#7030A0
324,61,126,44,,#0A0A14
325,61,127,44,,#0A0A14
326,61,128,44,,#0A0A14
327,61,129,44,,#0A0A14
328,61,130,44,,#0A0A14
329,62,109,44,,#0A0A14
330,62,110,44,,#0A0A14
331,62,111,44,"08 '25",#FF6600
332,62,112,44,"08 '25",#FF6600
333,62,113,44,"08 '25",#FF6600
334,62,114,44,,#0A0A14
335,62,115,44,,#0A0A14
336,62,116,44,,#0A0A14
337,62,117,44,,#0A0A14
338,62,118,44,"08 '24",#0070C0
339,62,119,44,"08 '24",#0070C0
340,62,120,44,,#0A0A14
341,62,121,44,,#0A0A14
342,62,122,44,,#0A0A14
343,62,123,44,,#0A0A14
344,62,124,44,"08 '24",#0070C0
345,62,125,44,,#0A0A14
346,62,126,44,,#0A0A14
347,62,127,44,"07 '27",#FF0000
348,62,128,44,,#0A0A14
349,62,129,44,,#0A0A14
350,62,130,44,,#0A0A14
351,63,109,44,,#0A0A14
352,63,110,44,,#0A0A14
353,63,111,44,,#0A0A14
354,63,112,44,,#0A0A14
355,63,113,44,,#0A0A14
356,63,114,44,"09 '24",#0070C0
357,63,115,44,"10 '25",#FF6600
358,63,116,44,,#0A0A14
359,63,117,44,,#0A0A14
360,63,118,44,,#0A0A14
361,63,119,44,"09 '24",#0070C0
362,63,120,44,,#0A0A14
363,63,121,44,,#0A0A14
364,63,122,44,,#0A0A14
365,63,123,44,,#0A0A14
366,63,124,44,,#0A0A14
367,63,125,44,,#0A0A14
368,63,126,44,"10 '26",#7030A0
369,63,127,44,,#0A0A14
370,63,128,44,,#0A0A14
371,63,129,44,,#0A0A14
372,63,130,44,,#0A0A14
373,64,109,44,,#0A0A14
374,64,110,44,,#0A0A14
375,64,111,44,,#0A0A14
376,64,112,44,,#0A0A14
377,64,113,44,,#0A0A14
378,64,114,44,"11 '24",#0070C0
379,64,115,44,"12 '25",#FF6600
380,64,116,44,,#0A0A14
381,64,117,44,,#0A0A14
382,64,118,44,,#0A0A14
383,64,119,44,"11 '24",#0070C0
384,64,120,44,,#0A0A14
385,64,121,44,,#0A0A14
386,64,122,44,,#0A0A14
387,64,123,44,,#0A0A14
388,64,124,44,,#0A0A14
389,64,125,44,,#0A0A14
390,64,126,44,"11 '26",#7030A0
391,64,127,44,,#0A0A14
392,64,128,44,,#0A0A14
393,64,129,44,,#0A0A14
394,64,130,44,,#0A0A14
395,65,109,44,"12 '23",#00B050
396,65,110,44,"01 '24",#0070C0
397,65,111,44,,#0A0A14
398,65,112,44,,#0A0A14
399,65,113,44,,#0A0A14
400,65,114,44,,#0A0A14
401,65,115,44,,#0A0A14
402,65,116,44,"01 '24",#0070C0
403,65,117,44,"02 '24",#0070C0
404,65,118,44,,#0A0A14
405,65,119,44,,#0A0A14
406,65,120,44,,#0A0A14
